population,islam,daoist,hindu,shintoism,sunni_muslim,buddhist,chrsitian,roman_catholic,protestant,greek_orthodox,lutheran_church_of_finland,GDP per capita $,GNP (billion),Land Area (sq km),birth rate / 1000 population,mortality rate,unemployment rate %,population below poverty line %,median age,population growth rate %,debt % of GDP,literacy rate %,inflation rate %,net migration rate migrants(s) /1000 population,urban population %,Continent,country
133724226,0,0,0,0,0,0,0,1,0,0,0,13900,1630,1964375,19.13,4.86,5.4,18.2,27.1,1.102,36.8,86.1,4.2,-3.24,78,North_America,Mexico
3460462,0,0,0,0,0,0,0,1,0,0,0,13000,45.41,75420,19.43,4.65,4.2,25.6,27.5,1.435,43.3,91.1,3.5,-0.42,75,Central_America,Panama
3989133,0,0,0,0,0,0,0,1,0,0,0,16300,53.4,13790,11.35,7.95,12,0,37.3,0.254,0,94.1,2.5,-0.86,99,Caribbean,Puerto Rico
313232044,0,0,0,0,0,0,0,0,1,0,0,47200,14560,9826675,13.83,8.38,9.6,15.1,36.9,0.963,62.3,99,1.6,4.18,82,North_America,United_States_of_America
21766711,0,0,0,0,0,0,0,0,1,0,0,41000,655,7682300,12.33,6.88,11.6,0,37.7,1.148,26.6,99,2.8,6.03,89,Oceania,Australia
4290347,0,0,0,0,0,0,0,0,1,0,0,27700,107,267710,13.68,7.15,6.5,0,37,0.882,30.1,99,2.3,2.28,86,Oceania,New_Zealand
224564,0,0,0,0,0,0,0,0,1,0,0,5100,0.34,12189,20.86,7.43,1.7,0,24.9,1.343,0,74,2.8,0,26,Oceania,Vanuatu
105916,0,0,0,0,0,0,1,0,0,0,0,6100,0.22,747,25.27,4.9,13,24,21.4,0.243,0,98.9,3.6,-17.94,23,Oceania,Tonga
20956,0,0,0,0,0,0,0,1,0,0,0,8100,0.15,459,10.74,7.87,4.2,0,32.6,0.363,0,92,2.7,0.76,83,Oceania,Palau
10544,0,0,0,0,0,0,0,0,1,0,0,3400,0.03,26,23.24,9.2,0,0,24.1,0.702,0,0,3.8,-7.02,50,Oceania,Tuvalu
571890,0,0,0,0,0,0,0,0,1,0,0,2900,0.28,28896,28.03,3.93,0,0,20.9,2.22,0,0,1.3,-1.9,19,Oceania,Solomon_Islands
9322,0,0,0,0,0,0,0,0,1,0,0,5000,0.17,21,27.78,6.11,90,0,24.2,0.611,0,0,0,-15.55,100,Oceania,Nauru
106836,0,0,0,0,0,0,0,1,0,0,0,2200,0.25,702,22.22,4.35,22,26.7,22.7,-0.313,0,89,2.2,-20.99,23,Oceania,Micronesia
67182,0,0,0,0,0,0,0,0,1,0,0,2500,0.19,181,29.11,4.38,36,0,21.8,1.954,0,93.7,12.9,-5.19,72,Oceania,Marshall_Islands
100743,0,0,0,0,0,0,0,1,0,0,0,6200,0.14,811,22.73,7.4,2,0,22.5,1.249,0,0,0.2,-2.85,44,Oceania,Kiribati
883125,0,0,0,0,0,0,0,0,1,0,0,4400,2.78,18274,21.11,5.9,7.6,25.5,26.9,0.798,0,93.7,-3.3,-7.24,52,Oceania,Fiji
